question,answer
What Is Monumental Life Insurance? ,"Monumental Life Insurance Co. is an A + rated life insurance and supplemental insurance company out of Baltimore , Maryland . They are owned by Aegon , one of the largest insurance groups in the world out of the Netherlands . Monumental Life and it 's sister company Transamerica focus on a variety of life insurance , but Monumental 's niche market seems to be affordable whole life insurance and final expense life insurance for seniors . Monumental Life has an endorsement from AARP to market senior life products . "
What Is A Medicare Advantage MSA? ,Medicare Advantage MSA is a rare duck . Essentially a high deductible Medicare plan coupled with a savings account ... much like the HDHP + HSA for the under age 65 crowd . With the Medicare MSA you enroll in a high deductible Part C plan that does not pay until you have satisfied your deductible . You have the option of funding a tax favored savings account to cover some of your out of pocket expense . 
Why Is Dave Ramsey Against Whole Life Insurance? ,"Dave Ramsey 's concept is that you should buy term and invest the difference . Since term insurance is less expensive initially , investing the difference in cost between term insurance and whole life insurance you will receive a greater return . In principle and theory he is right . In actual practice , statistics show that people buy term with this in mind but do not follow through on the investment portion . The result is that people are left with no insurance in their later years , because term insurance premiums increase in later years and become unaffordable . Often they end up with less savings than they would have had if they had purchased whole life . When you consider the tax friendliness of whole life , probate avoidance , and other factors Whole Life often in reality comes out on top . Dave Ramsey 's concept is not new , it has been around since A.L. Williams in the early 1980 's . Unless a person is extremely disciplined and has enough liquid cash flow , the concept of buy term and invest the difference has historically not worked for most people . Life happens , emergencies come up , expenses rise and the investment part of the plan is put on the back burner . I know some of my colleagues will disagree with me . They point to numbers on illustrations that look good in theory . I am not saying the concept wo n't work . I am pointing out the reality that unless a person truly follows through on the plan , historically it has n't for many . I see too many people end up with no insurance in their later years when they need it most . You should have at least a solid base of Whole Life . Life Insurance is not a good investment in fact it is not an investment . It is a good semi-compulsory way to save money for a later date while at the same time providing an immediate estate should you die too soon . "
How Long Does It Take To Get Home Insurance? ,"Pending extenuating circumstances a typical homeowners policy can be written as quickly as hours . If you have all of the information necessary for the agent to get you pricing , you are able to pay the premium , and there are not any risk associated with yourself or the property that carrier is not willing to accept then you could conceivably be covered the same day you apply . I would plan on a couple of days to a week though under most circumstances . "
Is hypnotherapy to control urinary incontinence from radiation treatment medicare covered? ,Hypnotherapy would not be covered by Medicare to help control urinary incontinence . There maybe some mental health issues where Medicare will pay some of the cost for hypnotherapy but I do n't believe it will cover any of the cost for the problem you are having . 
Is Health Insurance Mandatory In Florida? ,"Yes , health insurance is mandatory in the state of Florida or risk paying a fine . The affordable care act states that by January 1 , 2014 people are required to have health insurance or pay a fine . This rule is not just for Florida but for all states . An independent insurance agent should be able to show you plans from most of the major carriers and help you pick that plan that fits your needs . Several independent agencies -LRB- like ours -RRB- have a website that people can instantly compare health insurance plans online and then ask questions to experienced licensed agents over the phone . "
Is Group Term Life Insurance Portable? ,"Some group term life insurance is portable and some is not . You would need to contact your HR department at your place of business to get this information about your policy . While you are there , also ask them if your group term life insurance policy is convertible to permanent insurance . "
What Are Land Annuities? ,Land annuities that youre addressing are Irish payments to the British government that appears to be some sort of tax generating revenue approach imposed by the UK . The British government passed several land reform bills targeting land lord revenue . This is such an intriguing question if my assumptions are correct . 
Can You Get Car Insurance With A DUI? ,Yes you can obtain auto insurance with a DUI . Not all insurance companies will take a client with a DUI buy there are many that will . My suggestion is to contact an independent agent who can look at multiple companies to find you the best rates for your current situation . 
How Much Is Cobra Health Insurance? ,"The cost of COBRA is equal to 102 % of the full cost of your prior group health plan . For many people , this may come to several times more than you were previously paying for your premiums , because most businesses offering group coverage pay a substantial portion of their employees premiums . "
Can You Surrender A Life Insurance Policy? ,"You certainly can surrender a policy for its cash value , but then you have no life insurance . It would be much better for most folks to just borrow money from their policy and either pay it back or not . With a surrender , you will have to pay tax , but with a loan you will not , even if you do not pay it back , and you would still have a smaller but existing life insurance policy . Pay it back later and the death benefit returns automatically to the full amount ! Call me , Gary Lane , Agent , New York Life , 949 797 2424 . Thanks . "
Which Is Better Mutual Funds Or Annuities? ,"What type of mutual funds and annuities are we attempting to differentiate ? Product suitability determined by a personal financial profile that establishes risk tolerance and tax deferral as a priority , must first be developed . Keep in mind that annuities can have crediting methods that have market risk as well as mutual funds . The investors economic and product suitability is the determination , not comparing investments at a macro level . "
Can I Cancel My Disability Insurance? ,"Yes , you can cancel your own Disability Insurance policy . Non-cancellable Disability Insurance refers to the insurance company 's inability to cancel your policy unless you want it cancelled . You are also able to adjust Disability Insurance , which may be a more palatable option than cancelling it , if you no longer need as much coverage as you used to require . "
Can I Get Life Insurance If I Have Cancer? ,"If you are in the midst of cancer treatments , unfortunately , it is difficult to get life insurance . If you are over age 45 , there are guaranteed issue policies that you can get . They pay 100 % of the death benefit from day one for accidental death . For death by natural causes -LRB- any type of illness -RRB- , they have a graded period for 2-3 years in which they will pay a portion of the death benefit . After the graded period , they will pay the full death benefit . A year or two after your last treatment , you can get a simplified issue policy that may or may not be graded . And the longer you are cancer free , the more options you have . My recommendation is to get whatever coverage you can , and then replace it with less expensive life insurance with better features as you become eligible for them . Everyone 's hope is that you will eventually be able to get a regular policy for whatever amount you wish , because you will be a cancer survivor . "
Does My Homeowners Insurance Go Up If I Rent? ,"A Homeowners ' Policy specifically is intended to cover homes that are the primary residence i = of the home owner and named insured . Therefore , if you leave your house , buy or rent elsewhere and then rent your home to another party , if there is a claim at your house , that claim could be denied because you do not live there . Your Homeowners coverage would have to be transferred to a `` Dwelling Fire '' form in order to maintain coverage . Some companies offer these with Liability coverage included , others do not . So be sure to check with your insurance professional . Coverage for any personal property which you may own that is still at that house will need to be picked up on the new Dwelling policy because unlike a Homeowners ' policy , the coverage is not automatic . "
Who Offers Long Term Disability Insurance? ,"There are few long term care insurance companies on the market , so its fairly easy to review the half dozen companies that occupy the long term care market . Here are some of the more recognized names in long term care insurance : Transamerica , Genworth , Mutual of Omaha , Med-America and John Hancock to name a few . "
Do I Need To Sign Up For Medicare Every Year? ,No . Once you have enrolled in Medicare Part A and or B you are always on it unless you choose to cancel it for some reason . With Medicare Part D -LRB- your drug coverage -RRB- you are wise to review it every year between October 15th and December 7th because you plan can change even if you did n't do anything to change it . Also if you chose to go with Medicare Part C -LRB- Medicare Advantage -RRB- you need to meet with your agent every year between October 15th and December 7th to learn of your changes which take effect January 1st each year . But original Medicare Parts A & B stay basically the same year after year and you never have to reapply . 
Why Should A Person Purchase Disability Insurance? ,"Anyone who values their paycheck or an income should purchase disability insurance . The average American only has 90 days worth of cash reserves , yet the average long term disability lasts 31.2 months ! Would you be willing to drain your savings just so you can pay your bills and buy food ? By protecting your most important asset - YOUR PAYCHECK - you 're giving yourself peace of mind . "
What Does Lapsed Mean In Life Insurance? ,"The term `` lapsed '' in life insurance means that the policy is no longer providing coverage in the event of the insured 's death . This is usually due to a lack of premium payment . Each policy will provide a grace period -LRB- typically 30 days -RRB- from the premium due date to submit the necessary premiums to keep the coverage going . If the grace period has expired on the policy , you would likely need to apply for reinstatement with payment of back-premiums to put the policy back in force - evidence of insurability may be required depending on the carrier and how long it 's been since the policy lapsed . "
How Much Liability Car Insurance Do I Need? ,"The amount of car insurance liability you need depends on the state minimum limits for your state and your own financial situation . Your budget may not allow you to purchase the needed limits of bodily injury and property damage that you should carry . An experienced broker can not only find the best prices , but determine which coverages are the most economical for your specific situation . LIVE answer provided by : Ed Harris - Premier car insurance broker for 33 years and owner of several top-rated websites that offer the lowest available rates . "
Does Vanguard Offer Annuities? ,"Vangaurd has an advisory platform that can sell annuities , but Vangaurd does not itself manufacture annuities . If you purchase an annuity from this platform , Vanguard is acting as the agent and performing the same services any insurance agent would perform and receiving commissions that any agent would have normally been paid . "
How Can I Get My Own Medicare Card? ,"Social Security determines if and when you are eligible for Medicare . If you -LRB- or your spouse -RRB- have worked in the Social Security system long enough to earn the proper credits , you have earned your Medicare card . In most cases Medicare will send your card to you about 60 - 90 days in advance of your 65th birthday . "
How Does An Auto Insurance Deductible Work? ,"When a claim for physical damage to your car is settled , the insurance company will pay the necessary repairs minus the deductible . The deductible is stated clearly in the policy . If the damage is caused by another party it well could be that that partys insurance company will reimburse your deductible since they are responsible for the entire sum . "
Is There A Tax Deduction For Long Term Care Insurance? ,"Tax Qualified Long Term Care Insurance is able to be deducted as a health insurance expense on income tax returns , if it is paid by the individual . If you are an individual , it is added with other medical expenses , and anything above 7.5 % of your adjusted gross income is eligible for a tax deduction . If self employed , 100 % of your long term care premiums are tax deductible , up to the federally designated premium guidelines . "
How To Cancel New York Life Insurance? ,"To cancel any life insurance policy , you can call the Customer Service department of the insurance company and ask for the paperwork to cancel your policy . Before cancelling , though , it can be very helpful to speak to an agent to discuss your options . I literally went in to cancel a policy for my mom this week , and when we both learned of an unknown feature it had , she was thrilled to get to keep it . You may not need to pay another cent and still be able to keep some coverage . Taking a few minutes to review what you put so much into is never a bad idea . "
Can You Get Life Insurance On Other People? ,There must be insurable interest as defined by economic loss at the demise of the policy insured . If no such financial liability can been established the life insurance company will deny the application . Unrelated parties with no business nor personal economic relationship can not take out a life insurance policy on someone else . 
Does Renters Insurance Cover Vehicle Theft? ,"Renters insurance does not cover vehicle theft . Vehicle theft would be covered under your auto insurance policy provided you carry comprehensive coverage on your auto policy . However , if you have a renters insurance policy and some of your personal items were in the vehicle that was stolen they may be covered by your renters policy as long as the items are personal items and not part of the vehicle . "
Is Health Insurance Before Taxes? ,"If you purchase your coverage through an employer , you may have the option to utilize a 125 plan to have pre-tax dollars withheld from your pay check to pay your premiums . However , for the vast majority of individuals purchasing their own coverage , insurance premiums are paid for with taxable dollars . One exception to this rule is anyone that is self employed , who is allowed to write off the cost of their health insurance on their tax return . However , even in such a case , the self employed individual must still FICA/self-employment taxes on these funds . "
Is Life Insurance Required? ,"Here is the legal angle : Life insurance is not required by federal or state law . The government leaves it up to the citizenry to take care of our families , business , and charities . Good thing . We dont need more regulation or taxation . However : Life insurance is required by some legal contracts . Lenders may make a policy mandatory before closing on a business loan . Investors may call for a policy before injecting money into a business . Divorce decrees typically do obligate the participants to carry coverage . An additional point : I personally believe that life insurance is a moral obligation . You have a spouse and children financially dependent on you . You have the employees of your business dependent on you . If you have made a commitment to certain causes , you have those communal and social organizations dependent on you . Why let them down ? Life insurance lets the show go on for these folks . "
Who Has The Cheapest Car Insurance For Young Drivers? ,"Typically the battle for young drivers is done between Geico and Progressive . Due to the fact that a lot of their business is done directly through internet sales they are able to lower the premiums . However , I would recommend doing a little bit of research and checking out some regional carriers as well . Many carriers who only provide auto insurance in one to three states will offer competitive pricing in order to compete against the big national carriers . Either go online and look for insurance companies in your state or seek out a local independent agent -LRB- i.e. not a progressive , Allstate , State Farm agent -RRB- . "
What Is Wellpoint Health Insurance? ,"WellPoint Health Networks , Inc. merged with Anthem where the name WellPoint , Inc. was adopted . WellPoint is an independent company of the BCBS Association . WellPoint is nowthe largest managed health care company in the Blue Cross and Blue Shield family association serving California , Colorado , Connecticut , Georgia , Indian , Kentucky , Maine , Missouri , Nevada , New Hampshire , New York , Ohio , Virginia , Washington D.C. , and Wisconsin . It operates under other names in the mentioned states as Blue Cross , Anthem and UniCare . "
Does A 401K Contribution Reduce AGI? ,"That is a great question ! I am pleased to hear you ask about your 401k , planning for your retirement is a good thing , and I wish more people were doing it . If your contributions are being made pre-tax , then yes , your Gross Income will be adjusted downward for the amount of those contributions . If they are made after-tax , then they obviously will not . I hope that helps , thanks for asking ! "
What Does Homeowners Insurance Cover In Texas? ,"Greetings ! You have asked a very key question . To be honest , the short answer is ... It depends . Yes , I know not exactly what you were looking for . Let me step back and explain . The answer to your question depends not only on what company you take you coverage through , but also which policy type you elect . I agree with Felicia , who answered first , when she says consult with your agent . I would also suggest looking for information through OPIC if your are in Texas I suggest checking it out . It gives consumersinsurance information on Auto , Home ... etc. . They are : opic.state.tx.us online . "
How Can I Get My Car Insurance Down? ,"If you really are interested in driving down the cost of insurance I recommend that you raise your liability limits , reduce the deductibles to the minimum amount and maintain an impeccable alcohol free driving record . When you have an accident you will realize how much you have saved because your policy will take care of you and not leave you looking at bills , lawsuits and unrepaired vehicle damage . "
When Do You Not Need Life Insurance? ,"The only time you typically do n't need life insurance is when no one depends on your income in any way or if you have enough assets to cover any needs should you pass away . One example would be a single person with no dependents , no secured debt , and enough assets to cover the cost of a funeral . Even a person in this situation may want to have enough insurance to cover the funeral as assets may not be accessible for a significant amount of time . Many people think they need life insurance once they have children , but it is important for those married or living with someone as well . Life insurance will not only allow the survivor to maintain their standard of living , but also gives them financial security through the grieving process . Taking the time to create a will and ensure you have proper life insurance is one of the greatest gifts you can give your loved ones and help them know how much you care at a time of great grief . "
How Much Is Medigap Plan F? ,"The premium you will pay for plan F varies from insurance company to insurance company and from state to state . I would suggest that you take a long term view here and investigate the companies that sell Plan F in your state . Try to find information on their historic premium increases . The company that is the lowest initially , may not be the company that will be the least expensive over the long term . "
Does Renters Insurance Cover Break Ins? ,"You ask if `` renters insurance cover break ins '' . I am going to assume you are asking : What happens if the apartment building burns down ? A thief broke into your apartment ? What if a guest slips and injures themselves in your kitchen ? What happens if the apartment suffers water damage ? What about all my clothing , furniture , televsions , computer , iPod , musical or sporting equipment , and my wife 's jewelry ? The answer is yes , Reneters insurance covers all the above . Smart investment . "
Does Life Insurance Pay For Your Funeral? ,"Life insurance can be used to pay for your funeral or for any other purpose for which your beneficiary uses it . If you purchase a life insurance to fund your final expenses , leave the death benefit to a beneficiary who knows your wishes , or you can even leave it directly to the funeral home . "
Where To Buy Individual Disability Insurance? ,"When you purchase disability insurance through a website or a local agency , remember to ask for quotes from at least two carriers . Most agents have the means to receive quotes form multiple carries , so they can show you a few different options . Do n't just pick the cheapest product . Listen to your agent when she explains the different riders and provisions so you receive the BEST policy , not the most inexpensive . "
How Much Does Long Term Care Insurance Cover? ,"A quality long-term care insurance policy from a well-capitalized , highly rated insurance company will include at least the following : Facility careHome care Domestic care -LRB- housework , yard work , cleaning chores -RRB- Assisted living or residential living careAdult Day CareRespite care -LRB- time off for the primary family care giver -RRB- Home modifications so that insured can stay at home for as long as possible , the costs of which are not deducted from the pool of money available for daily care.There may be additional coverage offered by the carrier . Ask to see a `` specimen policy '' for the exact language of the benefits , features , and riders of the policy you are considering . Look for language that takes into account the possibility of future medical or technological advances that may become available but which are not yet known or invented yet . For example , `` assisted living '' facilities were not even available 25 years ago , but , people that bought quality policies before that time with contract language that allowed for future developments in the field of elder care are now in such facilities and being paid for those expenses . "
What Is A Universal Life Insurance Policy? ,"Universal Life insurance is a combination of term life insurance and a tax-deferred savings plan paying a variable return . There is a guaranteed interest rate and cost of insurance set which stipulates how long the policy is guaranteed to last . This can be as long as age 121 with some UL products , so that the policy is then considered permanent insurance . Some Universal Life products , especially Indexed Universal Life or Variable Universal Life , are designed to generate cash value . They may or may not have a guaranteed lifetime no lapse feature . Universal Life is an adjustable and flexible policy that can often be tweaked to meet the needs of the insured over a lifetime . "
Where Can I Find More Income In Retirement? ,We actually never retire we just slow down statistics prove that stopping work increases our chances of death by 5 times so really retirement is a mind set if we plan and time is on our side we might want to volunteer our services at a non profit organization or church would be a good place to start . In the seed process time is our most important asset even over income but if there is a shortage even then we should tithe a 10th of our income and the word says he will open the windows of heaven and pour out a blessing that we want even be able to receive it all.So have an open mind to new ideas and maybe get involved in something you wanted to do in your 20 's or 30 ' but just felt there was either not enough of time or time and no money . 
How Much Should I Expect To Pay For Life Insurance? ,"It depends on how much you need and for how long you need it . Term life insurance can cover a temporary need and is very affordable . As an example , for a male age 40 in excellent health needing coverage for 30 years , it may be possible to obtain $ 500,000 coverage for a level premium for that duration that amounts to a little more than $ 2 per day . For lifetime coverage that you can not outlive , you would need to consider permanent -LRB- cash value -RRB- life insurance coverage and the cost for that is higher . You should meet with a life insurance professional who can present you with options to meet your needs make it fit your budget . "
Why Invest In Whole Life Insurance? ,"Whole life insurance has many advantages to it . The first being that your premiums are fixed and guaranteed for the rest of your life and as a permanent insurance program , it builds cash value over time . If it 's a participating whole life policy , any dividends that are paid out can be used to either increase the death benefit via paid up additions , reduce your premium , or make a payment to you directly -LRB- options depend on which carriers whole life policy you have -RRB- . If you use the dividends to reduce the premium , the policy can become self-sustaining after a number of years - meaning no more premium payments . Non-participating policies only build cash value - these types of plans do not pay out dividends . If you 're buying whole life coverage when you 're young and its cash value builds for years and years , it can create a nice nest egg for funds that can be used during your retirement years . It 's important to remember that if you borrow from an insurance policy , you 're creating a loan as the monies are expected to be paid back . If you cash out the policy , you lose the life insurance coverage . An alternative for those who are not very concerned about the cash value and want to maximize the death benefit of your life insurance , you may want to consider a guaranteed universal life policy instead of whole life . GULs can offer a larger amount of coverage than whole life policies for the same premium or save you a ton of money on your premiums for a given level of coverage . Make sure to consult with an experienced life insurance broker who can create a structure that will best serve your needs , goals , and budget . I hope the information is helpful - please feel free to contact me for help and if you have any other questions . Thanks very much . "
Does Scuba Diving Affect My Life Insurance? ,"Yes , it can . Scuba ratings will depend on how deep you go , how experienced you are and what certifications you hold . There are several companies that add no additional costs for scuba . If you are looking for insurance and scuba , your best bet is to work with an independent agent who can visit several companies with your information and come back with options for you . "
How Soon Do You Need To Get Different Auto Insurance After You Move To Another State? ,"If you stay in another state for more than 60 days you 're going to have to get insurance from that state , that is usually the minumum amount of time for you , even if you do n't plan on being there for even six months , or a year . That 's in most states . "
How Do Life Insurance Policies Pay Out? ,"Life insurance policies pay out the death benefit as a lump sum , or in installments , or both . If paid in installments , there is interest added to the payments for the extra time that the life insurance company had that money in its possession . The installments can be a number -LRB- such as paid out in 10 equal installments -RRB- or a time period -LRB- such as paid out within 10 years -RRB- . "
Can Health Insurance Charge More For Smokers? ,"Health insurance absolutely can charge more for smokers . In fact , under Healthcare Reform , the ONLY things for which carriers can charge more are age , location and smoking . Smoking was going to be a 50 % increase . That 's HUGE rate increase , but it ought to give you an idea of the claims that occur as a result of smoking . However , just recently Health & Human services stated they ca n't figure out how to logistically charge more for smoking at this time , so for the 1st year of Healthcare Reform , they are NOT going to charge more for smoking , which could end up raising the rates for everyone else . So again , prior to Healthcare Reform you will pay an increase . But as of 1/1/14 , no rate increase - at least for the 1st year . "
Will Medicare Go Broke? ,There are two web sites every tax paying America should visit : the US debt clock and truth in accounting . Those web sites and other tax payer watchdog groups have made a mathematical case that medicare as it is today is already in the red based on payroll deduction income . 
What Does Term Life Insurance Cover? ,"Video Transcript : Today 's question is : What does term life insurance cover ? Remember first of all , if we 're using term , it only covers that period in time . If you buy a 20-year term , as an example , it 's only going to cover you for 20 years . If you buy $ 1/2 million dollars of death benefit , you 'll have it for as long as you pay your premiums on time ; you 'll have that coverage . What is it good for ? How does it cover ? It 's going to cover anything that you think that you need . Let 's say , at $ 1/2 million , you had a mortgage at $ 250,000 , you had credit card debt , you had car debt , you had educational debt . You want to cover that so that your spouse or your beneficiaries will not be actually saddled with your debt if something happened to you . When I 'm looking at , ` What does term life insurance ? ' it 's the time zone , how long do I have , what obligations would I have , and how can I relieve my beneficiaries from any of those obligations if something happens to me ? "
What Is Employer Owned Life Insurance? ,"Employer owned life insurance is coverage offered to employees as a benefit of working for that employer . The part that is nontaxable to the employee is $ 50,000 although the employee may be offered the option to purchase more coverage for himself/herselfand his/her faimiles at a reduced cost but with tax implications . "
Can You Exchange Annuity To Life Insurance? ,The IRS created section 1035 for the free exchange of annuities to annuities polices as well as life insurance cash values to annuities polices . But you can not use the 1035 exchange rules to transfer annuity values to life insurance policy . If your annuity policy has no gain it you consider funding life insurance with your annuity surrender value . But consult your tax adviser before moving forward considering surrenders or exchanges . 
Can I Cash In My Insurance? ,"If you have a life insurance policy that has been building cash value -LRB- a permanent life insurance policy - term policies do not build cash value -RRB- you can cash it out . However , before you terminate any life insurance policy , you should talk to your agent to make sure it 's the right move for you . One of the things that most people do n't think about is their insurability , especially when they have an existing plan . They may have preferred rates at the time they got it , but now have a medical history and may be looking at standard or substandard rates on a new plan if they decided to get coverage again later on . If you 're looking at securing new coverage / replacing the old policy , you should compare the two structures and make sure it 's the most favorable course of action for you . After all things considered and you still want to cash out the policy , you can call the carrier/contact your agent and tell them you want to terminate the coverage -LRB- the amount you receive would be less any surrender charges or loan fees , if applicable -RRB- . Please let me know if I can be of further assistance . Thanks very much . "
Does Allstate Offer Home Insurance In Nebraska? ,Allstate does offer Home insurance in the State of Nebraska . They are a good company but do not be afraid to look at other companies . There are many that offer in this state you want to shop and find which one fits your needs and your price point . Have a nice weekend 
How Much Is The Average Home Insurance? ,"That question is very open ended . Homeowner insurance premiums are determined by multiple factors , including your location , age , replacement cost of your home , quality of construction , limits of liability desired , your insurance score ; which is partially made up of your credit score . There is really no answer to give , your best bet is to contact an independent agent that can shp around for you and advise you on coverage . "
How Much Do You Pay For Disability Insurance? ,"But perhaps the most overlooked item is your human value , the ability to earn income over your working life . Providing an income stream for your family or business partners is a critical component to defensive planning . Disability premium pricing depends on your medical information , behaviors and your compensation . Medical information is collected such as gender , age , smoking status , health history , current medical condition , etc. . Behaviors like dangerous recreational activities , hazardous vocations and motor vehicle violations . And how much of your compensation do you want to coverage within the limits of disability insurance ? The generally rule of thumb for a nonsmoking healthy male covering 60 % of his compensation can be 3 to 5 % of the compensation coverage . "
What Is Occupational Disability Insurance? ,"The purpose of disability insurance is to provide income if you are unable to continue your work for an extended period of time due to an illness or and injury . In disability insurance , there are 3 types of definitions that a policy can use - the definition of disability in the policy is the MOST CRITICAL item to look at in your coverage . As to which policy features which definition , you need to look at which carrier you 're using and what definition options their policies offer . The 3 definitions of disability that a policy can use are true own occupation , modified own occupation , and gainful occupation . True Own Occupation -LRB- commonly referred to as `` own-occ '' -RRB- is the most favorable definition you can have on your policy . This definition says that you are considered totally disabled if , solely due to injury or sickness , you are not able to perform the material and substantial duties of your occupation , even if you are at work in another occupation . Modified Own Occupation has become the most common definition that most disability policies offer today . The first part of the modified definition is similar to the True Own Occupation definition , however , the second part of the modified definition is where the major change comes into play . The definition says that you are considered totally disabled if , solely due to injury or sickness , you are not able to perform the material and substantial duties of your occupation , and are NOT engaged in any other occupation . Gainful Occupation is a definition that is more commonly seen in group disability plans or plans offered by property and casualty companies that offer disability coverage . This definition provides the least coverage out of every disability plan . If you have a disability plan with this definition , you may want to look at securing coverage with a modified or true own occupation definition - or at the very least supplement the coverage . Many people who are looking for the cheapest disability plan will often end up with this definition on their policy Disability insurance is a very complex type of insurance with many moving parts and quotes depend on a variety of factors . You can not simply shop for a disability policy as you would for a term life insurance policy . For this type of coverage , you want to work with agents that have in-depth knowledge of products , how disability insurance works , and experience with these programs to help you through the process from start to finish . Please let me know if you have any other questions . Thanks ! "
Why Should I Set Up A Roth IRA? ,"The Roth IRA is a retirement savings vehicle . Choosing a Roth IRA over a traditional IRA gives you several clear advantages : 1 -RRB- Your Roth IRA grows tax free . 2 -RRB- During your retirement years you draw tax free income from your Roth IRA account . 3 -RRB- Because you 've already paid taxes on your Roth IRA , it hedges against the possibility of having a tax rate increase , thus causing more taxes to be taken out of your Roth IRA income stream during retirement . Remember , you will most likely have less write-offs when you retire . In retirement , you will have no dependents and could have your mortgage paid off . 4 -RRB- No required minimum distributions -LRB- RMDs -RRB- when you reach 70 1/2 . In retirement , you 'll thank yourself for having the foresight of a tax free income stream while your neighbors face the likelihood of an increased tax bite from their save traditional IRA . "
What Exactly Does A Life Insurance Physical Involve? ,"A life insurance physical is usually misrepresented as a paramedic exam . First , if a physical is required by the company you are applying at , thwn they would send a medical or you could be sent to one , to have a physical completed similar to an annual physical . A paramedical is where a technician is sent to your home , place of work , or another setting you agree upon , where he/she will ask a medical questions which the insurance company wants answers to . Blood pressure , a blood draw , urine in a cup , and measurements will also usually happen . It really all depends on the company , your age , and how much you are applying for . "
